id	family	kind	rel_path	stage	risk	overlap_count	route	source_patch	effective_patch	override_used
1426	vkd3d-latest	tkg-patches	vkd3d-latest/0002-Updated-vkd3d-to-aa811c10496800846b465c22a8a79a1e254.patch	2	medium	9	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0002-Updated-vkd3d-to-aa811c10496800846b465c22a8a79a1e254.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0002-Updated-vkd3d-to-aa811c10496800846b465c22a8a79a1e254.patch	no
1427	vkd3d-latest	tkg-patches	vkd3d-latest/0003-Updated-vkd3d-to-9460ef71cdb549e109d27f64929d2b85522.patch	2	medium	4	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0003-Updated-vkd3d-to-9460ef71cdb549e109d27f64929d2b85522.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0003-Updated-vkd3d-to-9460ef71cdb549e109d27f64929d2b85522.patch	no
1428	vkd3d-latest	tkg-patches	vkd3d-latest/0004-Updated-vkd3d.patch	2	medium	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0004-Updated-vkd3d.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/vkd3d-latest/0004-Updated-vkd3d.patch	no
1436	windowscodecs-TIFF_Support	tkg-patches	windowscodecs-TIFF_Support/0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch	3	medium	1	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/windowscodecs-TIFF_Support/0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/windowscodecs-TIFF_Support/0015-windowscodecs-Tolerate-partial-reads-in-the-IFD-meta.patch	no
1448	wined3d-Indexed_Vertex_Blending	tkg-patches	wined3d-Indexed_Vertex_Blending/0004-wined3d-Allow-higher-world-matrix-states.patch	2	medium	8	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-Indexed_Vertex_Blending/0004-wined3d-Allow-higher-world-matrix-states.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-Indexed_Vertex_Blending/0004-wined3d-Allow-higher-world-matrix-states.patch	no
1449	wined3d-Indexed_Vertex_Blending	tkg-patches	wined3d-Indexed_Vertex_Blending/0005-wined3d-Support-indexed-vertex-blending.patch	2	medium	4	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-Indexed_Vertex_Blending/0005-wined3d-Support-indexed-vertex-blending.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-Indexed_Vertex_Blending/0005-wined3d-Support-indexed-vertex-blending.patch	no
1450	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0001-wined3d-Use-UBO-for-vertex-shader-float-constants-if.patch	2	medium	6	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0001-wined3d-Use-UBO-for-vertex-shader-float-constants-if.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0001-wined3d-Use-UBO-for-vertex-shader-float-constants-if.patch	no
1451	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0002-d3d9-Support-SWVP-vertex-shader-float-constants-limi.patch	2	medium	3	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0002-d3d9-Support-SWVP-vertex-shader-float-constants-limi.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0002-d3d9-Support-SWVP-vertex-shader-float-constants-limi.patch	no
1452	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0003-wined3d-Report-actual-vertex-shader-float-constants-.patch	2	medium	5	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0003-wined3d-Report-actual-vertex-shader-float-constants-.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0003-wined3d-Report-actual-vertex-shader-float-constants-.patch	no
1453	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0004-wined3d-Support-SWVP-vertex-shader-constants-limit-i.patch	2	medium	7	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0004-wined3d-Support-SWVP-vertex-shader-constants-limit-i.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0004-wined3d-Support-SWVP-vertex-shader-constants-limit-i.patch	no
1454	wined3d-SWVP-shaders	tkg-patches	wined3d-SWVP-shaders/0005-wined3d-Support-SWVP-mode-vertex-shaders.patch	2	medium	6	wine	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0005-wined3d-Support-SWVP-mode-vertex-shaders.patch	/home/mikhail/Загрузки/wine-tkg-git-master(1) (2)/patches/wined3d-SWVP-shaders/0005-wined3d-Support-SWVP-mode-vertex-shaders.patch	no
